1,星际牛仔,26话 , 1998年10月23日 , 渡辺信一郎 、 矢立肇 、 川元利浩 、,9.1,4952人
2,攻壳机动队 S.A.C. 2nd GIG,26话 , 2004年1月1日 , 神山健治 、 士郎正宗 、,9.1,2986人
3,攻壳机动队 STAND ALONE COMPLEX,26话 , 2002年10月1日 , 神山健治 、 士郎正宗 、 下村一 、,9.0,3767人
4,CLANNAD ～AFTER STORY～,24话 , 2008年10月2日 , 石原立也 、 Key、Visual Art's 、 池田和美 、,8.9,8590人
5,新世纪福音战士,26话 , 1995年10月4日 , 庵野秀明 、 GAINAX 、 貞本義行 、,8.9,9930人
6,攻壳机动队,1话 , 1995年11月18日 , 押井守 、 士郎正宗 、 沖浦啓之 、,8.9,3055人
7,银魂',51话 , 2011年4月4日 ,,8.8,7118人
8,新世纪福音战士剧场版 Air/真心为你,2话 , 1997年7月19日 ,,8.8,4684人
9,灌篮高手,101话 , 1993年10月16日 , 井上雄彦 、,8.8,4999人
10,银魂,201话 , 2006年4月4日 , 高松信司 、 空知英秋 、 竹内進二 、,8.8,6680人
11,浪客剑心 追忆篇,4话 , 1999年2月20日 ,,8.8,2458人
12,3月的狮子 第二季,22话 , 2017年10月14日 , 新房昭之 、 羽海野チカ（白泉社 ヤングアニマル連載） 、 杉山延寛 、,8.8,1582人
13,白箱,24话 , 2014年10月9日  ,,8.8,6302人
14,钢之炼金术师 FULLMETAL ALCHEMIST,64话 , 2009年4月5日 , 入江泰浩 、 荒川弘（掲載 月刊『少年ガンガン』スクウェア・エニックス刊） 、 菅野宏紀 、,8.8,7210人
15,虫师,26话 , 2005年10月22日 , 長濵博史 、 馬越嘉彦 、,8.7,5136人
16,银河英雄传说,110话 , 1988年1月8日 , 田中芳樹 、 本木久年(1期)、久米一成(2期)、清水恵蔵(3期～) 、,8.8,900人
17,福音战士新剧场版：破,1话 , 2009年6月27日 ,,8.7,5580人
18,猫和老鼠,164话 , 1940年2月10日 , William Hanna (1940–58) Joseph Barbera (1940–58) Gene Deitch (1961–62) Chuck Jones (1963–67) Maurice Noble (1964–67) Abe Levitow (1965–67) Tom Ray (1966–67) Ben Washam (1966–67) 、,8.7,2462人
19,水星领航员 第三季,14话 , 2008年1月7日 , 佐藤順一 、 天野こずえ 、 古賀誠 、,8.7,1094人
20,攻壳机动队2 无罪,1话 , 2004年3月6日 , 押井守 、,8.6,2349人
21,天元突破 红莲螺岩,27话 , 2007年4月1日 ,,8.6,4460人
22,蓝色恐惧,1话 , 1998年2月28日 , 今敏 、 竹内義和 、,8.6,2388人
23,凉宫春日的消失,1话 , 2010年2月6日 , 武本康弘 、 谷川流 、 池田晶子 、,8.6,7498人
24,水星领航员 The AVVENIRE,3话 , 2015年9月26日 , 佐藤順一 、 天野こずえ 、,8.7,497人
25,命运石之门,25话 , 2011年4月6日 , 佐藤卓哉、浜崎博嗣、小林智樹(第25話) 、 坂井久太 、,8.5,10841人
26,大闹天宫,,1961年 , 万籁鸣、唐澄 、 西游记 、,8.6,1991人
27,千与千寻,1话 , 2001年7月20日 , 宮崎駿 、,8.5,7109人
28,海贼王,,1999年10月20日 , 宇田鋼之介、志水淳児→境宗久→宮元宏彰 、 尾田栄一郎 、 小泉昇→久田和也 、,8.5,5172人
29,蜂蜜与四叶草,24话 , 2005年4月14日 , カサヰケンイチ 、 羽海野チカ 、 島村秀一 、,8.5,2925人
30,蜂蜜与四叶草II,12话 , 2006年6月29日 , 長井龍雪 、 羽海野チカ 、 島村秀一 、,8.5,2090人
31,千年女优,1话 , 2001年7月28日 (Fantasia International Film Festival)、2002年9月14日 (日本) , 今敏 、 本田雄、今敏 、,8.5,3222人
32,虫师 续章 第2期,10话 , 2014年10月18日 ,,8.5,1470人
33,混沌武士,26话 , 2004年5月19日 , 渡辺信一郎 、,8.5,3130人
34,虫师 续章,12话 , 2014年4月4日 , 長濵博史 、 漆原友紀 、 馬越嘉彦 、,8.5,1951人
35,天空之城,,1986年8月2日 , 宮崎駿 、,8.5,4697人
36,瑞克和莫蒂 第三季,10话 , 2017年4月1日 ,,8.6,412人
37,瑞克和莫蒂 第二季,10话 , 2015-07-26 ,,8.6,534人
38,机动警察 和平保卫战,,1993年8月7日 , 押井守 、,8.6,563人
39,攻壳机动队2.0,,2008年7月12日 , 押井守 、,8.5,1351人
40,排球少年 乌野高校 VS 白鸟泽学园高校,10话 , 2016年10月7日 , 満仲勧 、 古舘春一（集英社「週刊少年ジャンプ」連載） 、,8.5,1394人
41,少女与战车 剧场版,1话 , 2015年11月21日 , 水島努 、 杉本功 、,8.4,2487人
42,CLANNAD,23话 , 2007年10月4日 ,,8.4,8145人
43,红辣椒,1话 , 2006年11月25日 , 今敏 、 筒井康隆 、,8.4,3214人
44,四叠半神话大系,11话 , 2010年4月22日 , 湯浅政明 、 森見登美彦 、 伊東伸高 、,8.4,3819人
45,魔法少女小圆,12话 , 2011年1月6日 , 新房昭之 、 Magica Quartet 、 岸田隆宏 、,8.4,11317人
46,幽灵公主,1话 , 1997年7月12日 ,,8.4,3567人
47,机动战士高达0080 口袋里的战争,6话 , 1989年3月25日 , 高山文彦 、 矢立肇、富野由悠季 、 美樹本晴彦 、,8.4,1399人
48,机动战士Z高达,50话 , 1985年3月2日 , 富野由悠季 、 矢立肇 、 安彦良和 、,8.4,1152人
49,怪物,74话 , 2004年4月6日 ,,8.4,1444人
50,昭和元禄落语心中 -助六再临篇-,12话 , 2017年1月6日 , 畠山守(小俣真一) 、 雲田はるこ「昭和元禄落語心中」（講談社「ITAN」連載） 、,8.4,782人
51,空之境界 第五章 矛盾螺旋,1话 , 2008年8月16日 , 平尾隆之 、 奈須きのこ 、,8.4,4765人
52,攻壳机动队 S.A.C. Solid State Society,1话 , 2006年9月1日 ,,8.4,1405人
53,哆啦A梦 大山版,1787话 , 1979年4月2日 ,,8.5,464人
54,死亡笔记,37话 , 2006年10月4日 , 荒木哲郎 、 大場つぐみ、小畑健 、,8.4,6340人
55,百变之星,51话 , 2003年4月3日 , 佐藤順一、平池芳正（第27话以后） 、,8.4,783人
